functionality,n,m1_accuracy,m1_macro_f1,m1_fpr,m1_fnr,m1_roc_auc,m2_accuracy,m2_macro_f1,m2_fpr,m2_fnr,m2_roc_auc,delta_accuracy,delta_macro_f1,delta_fnr,delta_fpr
counter_quote_nh,176,0.625,0.38461538461538464,0.375,,,0.6818181818181818,0.40540540540540543,0.3181818181818182,,,0.05681818181818177,0.02079002079002079,,-0.05681818181818182
counter_ref_nh,176,0.3977272727272727,0.2845528455284553,0.6022727272727273,,,0.5511363636363636,0.3553113553113553,0.44886363636363635,,,0.15340909090909094,0.07075850978290005,,-0.15340909090909094
derog_dehum_h,140,0.7785714285714286,0.43775100401606426,,0.22142857142857142,,0.5785714285714286,0.3665158371040724,,0.42142857142857143,,-0.19999999999999996,-0.07123516691199189,0.2,
derog_impl_h,140,0.34285714285714286,0.2553191489361702,,0.6571428571428571,,0.2785714285714286,0.21787709497206703,,0.7214285714285714,,-0.06428571428571428,-0.03744205396410316,0.06428571428571428,
derog_neg_attrib_h,140,0.7785714285714286,0.43775100401606426,,0.22142857142857142,,0.45714285714285713,0.3137254901960784,,0.5428571428571428,,-0.32142857142857145,-0.12402551381998583,0.3214285714285714,
derog_neg_emote_h,140,0.2571428571428571,0.20454545454545456,,0.7428571428571429,,0.3,0.23076923076923078,,0.7,,0.04285714285714287,0.026223776223776224,-0.04285714285714293,
ident_neutral_nh,140,0.9642857142857143,0.4909090909090909,0.03571428571428571,,,0.8928571428571429,0.4716981132075472,0.10714285714285714,,,-0.0714285714285714,-0.01921097770154373,,0.07142857142857142
ident_pos_nh,210,0.7619047619047619,0.43243243243243246,0.23809523809523808,,,0.7333333333333333,0.4230769230769231,0.26666666666666666,,,-0.02857142857142858,-0.009355509355509384,,0.02857142857142858
negate_neg_nh,140,0.7857142857142857,0.44,0.21428571428571427,,,0.8714285714285714,0.46564885496183206,0.12857142857142856,,,0.08571428571428574,0.025648854961832057,,-0.08571428571428572
negate_pos_h,140,0.2642857142857143,0.20903954802259886,,0.7357142857142858,,0.30714285714285716,0.23497267759562843,,0.6928571428571428,,0.04285714285714287,0.025933129573029567,-0.04285714285714293,
phrase_opinion_h,140,0.34285714285714286,0.2553191489361702,,0.6571428571428571,,0.4357142857142857,0.3034825870646766,,0.5642857142857143,,0.09285714285714286,0.04816343812850643,-0.09285714285714286,
phrase_question_h,140,0.38571428571428573,0.27835051546391754,,0.6142857142857143,,0.3142857142857143,0.2391304347826087,,0.6857142857142857,,-0.07142857142857145,-0.03922008068130883,0.0714285714285714,
profanity_h,140,0.8571428571428571,0.46153846153846156,,0.14285714285714285,,0.8428571428571429,0.4573643410852713,,0.15714285714285714,,-0.014285714285714235,-0.0041741204531902665,0.01428571428571429,
profanity_nh,100,0.68,0.40476190476190477,0.32,,,0.55,0.3548387096774194,0.45,,,-0.13,-0.049923195084485394,,0.13
ref_subs_clause_h,140,0.45,0.3103448275862069,,0.55,,0.45714285714285713,0.3137254901960784,,0.5428571428571428,,0.0071428571428571175,0.003380662609871521,-0.0071428571428572285,
ref_subs_sent_h,140,0.5857142857142857,0.36936936936936937,,0.4142857142857143,,0.5928571428571429,0.3721973094170404,,0.40714285714285714,,0.0071428571428571175,0.002827940047671007,-0.007142857142857173,
slur_h,190,0.5842105263157895,0.3687707641196013,,0.41578947368421054,,0.6894736842105263,0.40809968847352024,,0.3105263157894737,,0.10526315789473684,0.03932892435391894,-0.10526315789473684,
spell_char_del_h,140,0.4357142857142857,0.3034825870646766,,0.5642857142857143,,0.5928571428571429,0.3721973094170404,,0.40714285714285714,,0.15714285714285714,0.06871472235236376,-0.15714285714285714,
spell_char_swap_h,140,0.36428571428571427,0.2670157068062827,,0.6357142857142857,,0.4785714285714286,0.32367149758454106,,0.5214285714285715,,0.11428571428571432,0.05665579077825833,-0.11428571428571421,
spell_leet_h,176,0.35795454545454547,0.26359832635983266,,0.6420454545454546,,0.5681818181818182,0.36231884057971014,,0.4318181818181818,,0.21022727272727276,0.09872051421987749,-0.21022727272727276,
spell_space_add_h,176,0.14204545454545456,0.12437810945273632,,0.8579545454545454,,0.42045454545454547,0.296,,0.5795454545454546,,0.27840909090909094,0.17162189054726368,-0.27840909090909083,
spell_space_del_h,176,0.44886363636363635,0.30980392156862746,,0.5511363636363636,,0.5397727272727273,0.3505535055350554,,0.4602272727272727,,0.09090909090909094,0.040749583966427916,-0.09090909090909094,
target_group_nh,65,0.676923076923077,0.4036697247706422,0.3230769230769231,,,0.6307692307692307,0.3867924528301887,0.36923076923076925,,,-0.04615384615384621,-0.01687727194045352,,0.046153846153846156
target_indiv_nh,65,0.6153846153846154,0.38095238095238093,0.38461538461538464,,,0.5846153846153846,0.36893203883495146,0.4153846153846154,,,-0.03076923076923077,-0.012020342117429472,,0.03076923076923077
target_obj_nh,65,0.9230769230769231,0.48,0.07692307692307693,,,0.9230769230769231,0.48,0.07692307692307693,,,0.0,0.0,,0.0
threat_dir_h,140,0.29285714285714287,0.2265193370165746,,0.7071428571428572,,0.4357142857142857,0.3034825870646766,,0.5642857142857143,,0.14285714285714285,0.07696325004810203,-0.1428571428571429,
threat_norm_h,140,0.5071428571428571,0.33649289099526064,,0.4928571428571429,,0.39285714285714285,0.28205128205128205,,0.6071428571428571,,-0.11428571428571427,-0.05444160894397859,0.11428571428571421,
