pair,pair_label,slice_type,slice_value,n,delta_mean,delta_median,delta_ci_low,delta_ci_high,flip_rate,wilcoxon_stat,wilcoxon_p,mcnemar_stat,mcnemar_p,cohens_h,wilcoxon_p_holm,wilcoxon_reject_holm,mcnemar_p_holm,mcnemar_reject_holm
fem_vs_masc,Feminine vs masculine direct comparison,functionality,counter_ref_nh,176,-0.05767044052481651,-0.008296987973153591,-0.07127027846872806,-0.04377794358879328,0.0625,1273.0,6.285600778767778e-22,0.0,0.0009765625,-0.12518109198050387,1.6971122102673e-20,True,0.0263671875,True
fem_vs_masc,Feminine vs masculine direct comparison,functionality,profanity_nh,100,-0.04647462069988251,-0.0008106529712677002,-0.06565966345369816,-0.02901941095478833,0.03,478.0,1.9466789291655573e-12,0.0,0.25,-0.06137939979241547,4.282693644164226e-11,True,1.0,False
fem_vs_masc,Feminine vs masculine direct comparison,functionality,ident_neutral_nh,140,-0.0406375527381897,-0.0007387709920294583,-0.05929271206259727,-0.02389459740370512,0.02857142857142857,1101.0,1.523738792002312e-15,0.0,0.125,-0.09872068959271896,3.961720859206011e-14,True,1.0,False
fem_vs_masc,Feminine vs masculine direct comparison,functionality,spell_space_add_h,176,-0.03723911941051483,-0.00573914498090744,-0.04804704813286662,-0.025225842418149118,0.011363636363636364,2476.0,4.242871042025621e-15,0.0,0.5,-0.02505004858252291,1.0607177605064053e-13,True,1.0,False
fem_vs_masc,Feminine vs masculine direct comparison,functionality,counter_quote_nh,176,-0.036888524889945984,-0.0012999314349144697,-0.05068662306293845,-0.02394770779646933,0.028409090909090908,2689.0,4.963800095784954e-14,0.0,0.0625,-0.058603845433607304,1.1913120229883889e-12,True,1.0,False
fem_vs_masc,Feminine vs masculine direct comparison,functionality,target_indiv_nh,65,-0.03462003543972969,-0.0017703771591186523,-0.05423112185671926,-0.01767691262066364,0.015384615384615385,380.0,6.026910341461189e-06,0.0,1.0,-0.03270114841318006,9.643056546337903e-05,True,1.0,False
fem_vs_masc,Feminine vs masculine direct comparison,functionality,derog_neg_emote_h,140,-0.030676517635583878,-0.00032599654514342546,-0.045755093730986116,-0.017651348933577542,0.014285714285714285,1431.0,3.1323679544267846e-13,0.0,0.5,-0.03299443740681074,7.204446295181605e-12,True,1.0,False
fem_vs_masc,Feminine vs masculine direct comparison,functionality,phrase_opinion_h,140,-0.030302101746201515,-0.000994454137980938,-0.04194777933880687,-0.02032254794612527,0.014285714285714285,2552.0,7.165717761381529e-07,0.0,0.5,-0.02900184825262664,1.4331435522763059e-05,True,1.0,False
fem_vs_masc,Feminine vs masculine direct comparison,functionality,spell_space_del_h,176,-0.025006083771586418,-0.00030165864154696465,-0.035836377181112766,-0.014554537716321647,0.03409090909090909,4154.0,7.935464196862085e-08,1.0,0.21875,-0.045484916446506984,1.666447481341038e-06,True,1.0,False
fem_vs_masc,Feminine vs masculine direct comparison,functionality,threat_dir_h,140,-0.024859823286533356,-0.0006357729434967041,-0.035940224677324294,-0.014678267948329451,0.04285714285714286,2917.0,2.6977004381478764e-05,1.0,0.21875,-0.0605145672749694,0.0003776780613407027,True,1.0,False
fem_vs_masc,Feminine vs masculine direct comparison,functionality,ident_pos_nh,210,-0.022259710356593132,-0.0002773072337731719,-0.03344168243929744,-0.013194364053197205,0.023809523809523808,7684.0,0.00011854251351905987,1.0,0.375,-0.034962087715652346,0.0014225101622287184,True,1.0,False
fem_vs_masc,Feminine vs masculine direct comparison,functionality,derog_neg_attrib_h,140,-0.020809821784496307,-5.778670310974121e-05,-0.03527424661442637,-0.008951820665970446,0.06428571428571428,4443.0,0.306120365858078,3.0,0.5078125,-0.04318014774380563,1.0,False,1.0,False
fem_vs_masc,Feminine vs masculine direct comparison,functionality,phrase_question_h,140,-0.020495902746915817,-0.0004083446692675352,-0.03324865810573101,-0.009507002425380053,0.03571428571428571,3377.0,0.0011921316618099809,0.0,0.0625,-0.0758545376744224,0.011921316618099809,True,1.0,False
fem_vs_masc,Feminine vs masculine direct comparison,functionality,slur_h,190,-0.018596820533275604,-9.429454803466797e-05,-0.028583898860961198,-0.009045133460313083,0.010526315789473684,5610.0,5.070888164482312e-06,0.0,0.5,-0.021822318683096364,8.620509879619931e-05,True,1.0,False
